type,sub_type,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,NA,2350000.0,2700.0,2.0,5.0,4.0,3.0,3.0,2.0,2015.0
single_family,NA,452000.0,1464.0,1.0,4.0,2.0,2.0,2.0,2.0,1981.0
single_family,NA,549062.0,1640.0,1.0,3.0,2.0,2.0,2.0,2.0,2026.0
single_family,NA,450000.0,1747.0,1.0,3.0,2.0,2.0,2.0,2.0,1955.0
townhomes,townhouse,589000.0,2011.0,2.0,3.0,3.0,3.0,3.0,2.0,2014.0
townhomes,townhouse,798900.0,1052.0,2.0,2.0,3.0,2.0,2.0,1.0,1984.0
single_family,NA,1499900.0,2448.0,2.0,5.0,3.0,3.0,3.0,2.0,1965.0
single_family,NA,1698000.0,4159.0,2.0,4.0,5.0,4.0,4.0,3.0,2018.0
single_family,NA,575000.0,1097.0,1.0,3.0,2.0,2.0,2.0,2.0,1957.0
single_family,NA,849999.0,2048.0,2.0,4.0,3.0,3.0,3.0,2.0,1965.0
mobile,NA,479000.0,1984.0,1.0,3.0,2.0,2.0,2.0,2.0,2004.0
single_family,NA,659900.0,2093.0,1.0,3.0,2.0,2.0,2.0,3.0,2005.0
condos,condo,390000.0,634.0,1.0,1.0,1.0,1.0,1.0,2.0,1989.0
single_family,NA,789000.0,2506.0,2.0,5.0,4.0,3.0,3.0,0.0,1989.0
single_family,NA,749990.0,2947.0,2.0,4.0,4.0,3.0,3.0,2.0,2006.0
condos,condo,435000.0,768.0,1.0,1.0,1.0,1.0,1.0,1.0,1982.0
single_family,NA,689000.0,1758.0,1.0,3.0,2.0,2.0,2.0,0.0,1956.0
condos,condo,312000.0,846.0,1.0,1.0,1.0,1.0,1.0,1.0,2005.0
single_family,NA,1050000.0,2808.0,2.0,4.0,3.0,3.0,3.0,2.0,1972.0
single_family,NA,799000.0,2044.0,1.0,4.0,3.0,3.0,3.0,2.0,1973.0
single_family,NA,554950.0,1819.0,2.0,4.0,3.0,2.0,2.0,2.0,1979.0
single_family,NA,1100000.0,2493.0,1.0,4.0,3.0,2.0,2.0,2.0,1966.0
single_family,NA,885000.0,1707.0,1.0,4.0,3.0,3.0,3.0,0.0,1949.0
condos,condo,539999.0,836.0,1.0,2.0,2.0,2.0,2.0,1.0,1997.0
single_family,NA,385000.0,1051.0,1.0,3.0,1.0,1.0,1.0,2.0,1953.0
single_family,NA,399900.0,1400.0,1.0,4.0,2.0,2.0,2.0,0.0,1959.0
single_family,NA,565000.0,1889.0,2.0,4.0,3.0,3.0,3.0,2.0,1967.0
single_family,NA,389999.0,1494.0,1.0,3.0,2.0,2.0,2.0,2.0,1979.0
single_family,NA,940000.0,1437.0,1.0,4.0,2.0,2.0,2.0,2.0,1961.0
land,NA,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_family,NA,610000.0,1848.0,3.0,3.0,3.0,2.0,2.0,2.0,1984.0
single_family,NA,579000.0,1140.0,1.0,2.0,1.0,1.0,1.0,1.0,1926.0
single_family,NA,444900.0,1140.0,1.0,3.0,2.0,2.0,2.0,2.0,1955.0
townhomes,townhouse,868000.0,1708.0,2.0,4.0,3.0,3.0,3.0,2.0,1982.0
single_family,NA,2299950.0,2496.0,2.0,5.0,3.0,2.0,2.0,3.0,1969.0
single_family,NA,599900.0,1134.0,1.0,3.0,1.0,1.0,1.0,2.0,1921.0
single_family,NA,1400000.0,2013.0,1.0,3.0,2.0,2.0,2.0,2.0,1977.0
single_family,NA,369900.0,1200.0,2.0,3.0,2.0,2.0,2.0,0.0,1981.0
single_family,NA,1039000.0,3014.0,2.0,5.0,3.0,3.0,3.0,3.0,2000.0
single_family,NA,325000.0,1192.0,2.0,2.0,2.0,2.0,2.0,0.0,2004.0
